Year,HCPCS Code,NPI_DOC,SRVS_ASC_PHY,SRVS_IP_PHY,SRVS_OFF,SRVS_OP_PHY,ALWD_ASC_PHY,ALWD_IP_PHY,ALWD_OFF,ALWD_OP_PHY,PAID_ASC_PHY,PAID_IP_PHY,PAID_OFF,PAID_OP_PHY
2020,93010,1396739272,,10,,98,,79.47,,883,,62.93,,698.32
2019,93010,1396739272,,27,,172,,228.02,,1517.21,,176.14,,1190.15
2021,93010,1396739272,,13,,168,,103.08,,1314.27,,83.16,,1053.36
2020,93010,1124009063,,,9,,,,67.44,,,,34.11,
2019,93010,1124009063,,,10,,,,75.96,,,,46.27,
2020,93010,1982701652,,45,,36,,285.94,,302.76,,217,,223
2019,93010,1982701652,,16,,34,,126.45,,278.19,,99.15,,204.91
2021,93010,1982701652,,224,2,213,,1684.8,8.1,1692.9,,1280.42,6.48,1283.42
2020,93010,1831211705,,1,,,,8.43,,,,6.71,,
2019,93010,1831211705,,13,,,,109.72,,,,80.88,,
2019,93010,1710197298,,111,5,83,,924.48,34.56,691.2,,729.74,27.28,531.96
2020,93010,1730447756,,625,4,284,,5943.15,25.29,2731.32,,4670.3,20.22,2088.53
2019,93010,1730447756,,,2,,,,8.44,,,,6.61,
2021,93010,1730447756,,856,11,583,,8154.39,81.22,5325.15,,6105.38,64.96,3990.09
2020,93010,1407902794,,19,,83,,176.6,,697.57,,107,,521.52
2019,93010,1407902794,,53,,291,,473.58,,2464.37,,375.82,,1927.84
2021,93010,1407902794,,15,,80,,120.26,,644.25,,97.58,,468.52
2020,93010,1003874371,,1,84,127,,8.43,691.26,1011.6,,6.84,560.88,689.03
2019,93010,1003874371,,,2,140,,,8.77,1063.44,,,7.01,700.96
2021,93010,1003874371,,3,2,104,,24.39,8.13,780.48,,19.8,6.6,512.36
2019,93010,1881853778,,,3,,,,16.88,,,,13.36,
2020,93010,1013143122,,127,3,23,,1042.85,16.4,180.65,,830.19,12.99,137.53
2019,93010,1013143122,,81,,8,,714.57,,65.71,,560.48,,51.54
2021,93010,1013143122,,195,,70,,1480.99,,515.62,,1064.69,,368.04
2020,93010,1649258138,,27,,,,236.04,,,,190.56,,
2019,93010,1649258138,,78,,8,,666.76,,59.08,,532.45,,47.18
2021,93010,1649258138,,50,,,,430.89,,,,339.21,,
2020,93010,1225128259,,545,172,1172,,4569.06,1433.1,9795.66,,3487.1,1027.35,7071.91
2019,93010,1225128259,,592,196,1632,,4743.28,1620.48,13554.64,,3576.72,1140.9,10015.58
2021,93010,1225128259,,377,166,1027,,3195.09,1349.58,8365.77,,2432,1009.03,6273.34
2020,93010,1609072065,,,2,,,,8.32,,,,6.53,
2020,93010,1124281118,,449,,355,,3624.9,,2183.37,,2724.84,,1619.26
2019,93010,1124281118,,248,2,307,,2050.92,8.44,2025.6,,1564.7,6.63,1579.16
2021,93010,1124281118,,829,6,449,,6211.78,40.65,2715.42,,4852.58,32.5,2087.3
2021,93010,1639132558,,160,,53,,1268.28,,414.63,,968.5,,287.89
2020,93010,1861499808,,56,,5,,455.22,,33.72,,359.69,,26.84
2019,93010,1861499808,,124,,11,,928.4,,59.08,,741.39,,40.44
2021,93010,1861499808,,42,,,,317.07,,,,253.5,,
2020,93010,1376528190,,35,2,12,,345.63,8.43,92.73,,273.9,6.61,66.88
2019,93010,1376528190,,25,,8,,219.44,,59.08,,170.28,,45.74
2021,93010,1376528190,,19,,4,,154.47,,24.39,,123.5,,19.5
2020,93010,1699776286,2,83,,26,8.83,777.04,,167.77,7.13,623.3,,128.21
2019,93010,1699776286,,110,,22,,833.15,,114.01,,656.07,,89.81
2021,93010,1699776286,,120,,74,,1133.88,,566.94,,916.31,,451.55
2020,93010,1396774063,,451,,133,,3734.49,,1053.75,,3002.17,,848.43
2019,93010,1396774063,,614,,224,,4844.56,,1747.08,,3847.32,,1389.99
2021,93010,1396774063,,383,,165,,3081.27,,1276.41,,2508.98,,1039.34
2020,93010,1912911587,,1,11,,,8.43,8.43,,,6.61,6.74,
2019,93010,1912911587,,3,,,,25.32,,,,19.05,,
2021,93010,1912911587,,393,24,,,3178.83,8.13,,,2541.5,6.5,
2020,93010,1194161299,,519,,11,,4335.53,,88.3,,3448.06,,70.6
2019,93010,1194161299,,58,,,,517.43,,,,405.91,,
2021,93010,1194161299,,109,,162,,876.18,,1219.26,,693.87,,975.14
2020,93010,1932175981,,646,10,108,,3953.67,75.87,708.12,,3058.07,54.38,531.71
2019,93010,1932175981,,1743,16,787,,13512.44,126.6,6372.2,,10137.61,99.3,4660.76
2021,93010,1932175981,,488,3,89,,3504.03,16.26,691.05,,2754.63,13.08,548.69
2020,93010,1184950503,,101,2,20,,823.68,8.69,145.97,,669.1,7.07,118.61
2019,93010,1184950503,,44,,12,,377.08,,94.27,,297.44,,74.36
2021,93010,1184950503,,416,,178,,3124.68,,1369.5,,2538.12,,1115.4
2020,93010,1538203724,,4,,,,26.49,,,,20.76,,
2019,93010,1538203724,,,,2,,,,8.77,,,,6.88
2020,93010,1164421871,,259,,75,,2402.55,,640.68,,1928.7,,517.72
2019,93010,1164421871,,54,,40,,523.28,,371.36,,417.81,,289.77
2021,93010,1164421871,,203,,53,,2170.71,,504.06,,1767.57,,401.54
2020,93010,1013910546,,,32,1548,,,269.76,12408.96,,,188.63,8174.81
2019,93010,1013910546,,94,34,1745,,751.16,253.2,14027.28,,558.8,133.35,9097.76
2021,93010,1013910546,,,30,1577,,,235.77,12195,,,163.75,8774.06
2019,93010,1659368728,,5,,4,,34.28,,25.71,,27.4,,20.55
2021,93010,1659368728,,5,,,,33.2,,,,26.84,,
2020,93010,1508975772,,1,8,,,8.43,59.01,,,6.84,46.9,
2019,93010,1508975772,,,,2,,,,8.44,,,,6.73
2019,93010,1083901227,,2,,,,9.76,,,,7.65,,
2020,93010,1285614529,,495,2,199,,4122.27,8.43,1618.56,,3255.06,6.61,1271.48
2019,93010,1285614529,,253,,92,,1890.56,,683.64,,1480.64,,535.41
2021,93010,1285614529,,385,6,227,,3081.27,40.65,1747.95,,2502.36,33.1,1423.3
2020,93010,1811981319,,29,26,,,202.32,157.62,,,160.84,127.8,
2019,93010,1811981319,,523,2,19,,4059.97,8.77,118.16,,3199.14,6.98,93.8
2021,93010,1811981319,,306,,,,2249.42,,,,1825.77,,
2020,93010,1891799300,,149,8,129,,1272.93,59.01,1087.47,,1019.16,47.53,813.98
2019,93010,1891799300,,250,19,180,,2413.84,160.36,1502.32,,1907.23,128.06,1168.75
2021,93010,1891799300,,184,5,91,,1520.31,32.52,731.7,,1203.08,26.44,588.32
2019,93010,1740398304,,3,,62,,25.32,,135.04,,20.19,,103.03
2020,93010,1578566006,,197,37,2232,,1340.37,261.33,16758.84,,1039.28,173.16,12171.4
2019,93010,1578566006,,330,46,2962,,2498.24,312.28,22374.44,,1879.6,186.23,15406.55
2021,93010,1578566006,,,20,1846,,,146.34,14707.17,,,88.91,10433.75
2020,93010,1922266683,,73,,24,,598.83,,199.87,,486.84,,162.61
2021,93010,1922266683,,77,,56,,588.7,,462.55,,478.1,,375.65
2019,93010,1497986533,,95,,270,,848.4,,2301.6,,652.87,,1619.72
2020,93010,1699825299,,226,,94,,1933.77,,803.53,,1529.38,,646.03
2019,93010,1699825299,,313,,100,,2701.16,,850.69,,2143.68,,671.42
2021,93010,1699825299,,166,,23,,1357.22,,188.98,,1066.4,,151.36
2020,93010,1790715035,,382,,353,,3111.04,,2918.38,,2465.13,,2156.82
2019,93010,1790715035,,587,2,704,,4550.43,8.77,5683.18,,3604.13,6.98,4466.65
2021,93010,1790715035,,34,,9,,256.17,,67.34,,205.35,,54.57
2019,93010,1942267448,,2,,,,8.77,,,,7.01,,
2021,93010,1942267448,,2,,,,8.59,,,,6.91,,
2019,93010,1811969041,,35,,,,126.6,,,,101.1,,
2019,93010,1104877687,,,3,,,,16.88,,,,13.38,
2021,93010,1104877687,,,2,,,,8.13,,,,6.5,
2020,93010,1134104847,,25,4,18,,137.92,25.67,51.72,,111.34,20.75,34.82
2019,93010,1134104847,,74,2,65,,533.2,8.6,507.4,,417.88,6.74,370.7
2021,93010,1134104847,,5,,2,,33.36,,8.34,,27.16,,6.79
2020,93010,1063409001,,9,2,6,,75.87,8.58,42.15,,53.14,6.72,31.58
2019,93010,1063409001,,13,,3,,126.6,,16.88,,97.58,,13.22
2021,93010,1063409001,,4,,5,,32.52,,32.52,,26,,26
2020,93010,1669438552,,129,,38,,1104.78,,329.7,,883.09,,263.4
2019,93010,1669438552,,6,,,,43.35,,,,34,,
2021,93010,1669438552,,19,,7,,132.04,,50.18,,92.45,,33.77
2020,93010,1376752048,,3,,,,17.16,,,,13.94,,
2021,93010,1346310885,,37,,205,,279.14,,1658.42,,210.24,,1287.72
2020,93010,1760449680,,185,,66,,1492.92,,566.28,,975.03,,361.84
2019,93010,1760449680,,35,,11,,282.81,,85.7,,226.05,,68.5
2020,93010,1710993431,,20,,15,,129.3,,77.58,,104.74,,63.18
2019,93010,1710993431,,19,2,55,,154.8,8.6,455.8,,123.66,6.87,364.11
2021,93010,1710993431,,33,,13,,216.84,,83.4,,174.72,,67.2
2020,93010,1275593931,,478,159,186,,4375.17,1315.08,1559.55,,3325.63,877.08,1166.66
2019,93010,1275593931,,518,173,168,,4684.2,1417.92,1451.68,,3586.4,1005.01,1086.5
2021,93010,1275593931,,451,172,96,,3959.31,1219.5,845.52,,2909.2,838.5,643.8
2020,93010,1881600815,,159,2,55,,1403.97,8.83,485.65,,1127.65,6.99,391.45
2019,93010,1881600815,,187,,55,,1525.98,,482.35,,1211.04,,382.8
2021,93010,1881600815,,175,,16,,1348.63,,137.44,,1042.2,,110.08
2021,93010,1851733950,,4,,4,,25.77,,25.77,,13.74,,20.61
2020,93010,1356428650,,125,,95,,1041.25,,816.05,,828.37,,645.2
2019,93010,1356428650,,179,2,139,,1328.48,8.74,1093.46,,1042.5,6.95,814.43
2021,93010,1356428650,,49,,36,,414.54,,306.25,,328.8,,240.11
2020,93010,1124462650,,11,,36,,97.13,,300.22,,77.66,,240.04
2019,93010,1124462650,,18,,33,,149.09,,280.64,,116.96,,213.28
2021,93010,1124462650,,2,,,,8.59,,,,6.88,,
2020,93010,1891930863,,,2,,,,8.62,,,,6.87,
2019,93010,1891930863,,,2,,,,8.44,,,,6.73,
2020,93010,1881695302,,650,,286,,5378.74,,2099.87,,4320.5,,1688.24
2019,93010,1881695302,,1205,,455,,10067.77,,3763.67,,7974.52,,2970
2021,93010,1881695302,,301,,150,,2414.61,,934.95,,1957.23,,756.05
2019,93010,1154544005,,25,,,,175.4,,,,139.8,,
2020,93010,1477556900,,69,29,937,,556.38,227.61,7350.96,,414.08,148.26,5084.64
2019,93010,1477556900,,133,19,1277,,1055,126.6,10305.24,,774.7,76.2,6823.87
2021,93010,1477556900,,,6,658,,,40.65,5235.72,,,20.74,3823.27
2020,93010,1245386424,,18,,7,,156.14,,52.18,,123.9,,41.5
2019,93010,1245386424,,24,,22,,190.3,,190.63,,144.84,,152.11
2021,93010,1245386424,,17,,8,,110.29,,60.13,,88.33,,48.16
2021,93010,1073762084,,,2,,,,8.13,,,,6.59,
2020,93010,1982047676,,5,2,11,,35.32,8.83,88.3,,28.24,7.06,70.61
2021,93010,1982047676,,11,,13,,85.9,,85.9,,68.7,,68.7
2020,93010,1699778035,,,7,,,,50.58,,,,33.5,
2020,93010,1669761524,,,,2,,,,8.58,,,,6.72
2021,93010,1669761524,,,,3,,,,16.6,,,,13.28
2019,93010,1568749224,,,4,,,,25.32,,,,19.83,
2020,93010,1235333816,,95,,85,,778.75,,736.82,,622.32,,568
2019,93010,1235333816,,315,,152,,2263.66,,1329.29,,1668,,932.1
2021,93010,1235333816,,53,,55,,406.08,,460.09,,294.55,,324.05
2020,93010,1467424424,,144,,17,,1183.22,,123.62,,946.99,,98.28
2019,93010,1467424424,,152,,53,,1227.8,,429.73,,964.56,,337.61
2021,93010,1467424424,,133,,,,1142.47,,,,910.85,,
2021,93010,1437248044,,52,2,5,,399.36,8.32,33.28,,324,6.75,27
2020,93010,1861409278,,1,,,,8.41,,,,6.39,,
2019,93010,1861409278,,1,,,,8.43,,,,6.61,,
2021,93010,1861409278,,,2,,,,8.1,,,,6.48,
2020,93010,1144666207,,23,,97,,101.16,,143.31,,82.2,,116.45
2021,93010,1144666207,,54,,474,,365.85,,3707.28,,292.5,,2808.24
2020,93010,1760403620,,34,,11,,311.91,,92.73,,245.58,,75.21
2019,93010,1760403620,,62,2,43,,590.8,8.44,371.36,,462.84,6.61,290.86
2021,93010,1760403620,,3,,,,24.39,,,,19.74,,
2020,93010,1821110289,,51,,,,320.34,,,,258.63,,
2019,93010,1821110289,,148,2,3,,1266,8.44,16.88,,991.73,6.61,13.22
2020,93010,1659401974,,180,164,47,,1527.59,1236.2,397.35,,1192.44,981.06,307.56
2019,93010,1659401974,,273,,118,,2262.66,,1034.86,,1777.62,,813.02
2021,93010,1659401974,,451,2,163,,3745.24,8.59,1374.4,,2933.49,6.87,1078.59
2020,93010,1104825090,,93,,20,,773.41,,104.28,,602.83,,84.7
2019,93010,1104825090,,44,,15,,433.5,,34.68,,346.44,,27.72
2021,93010,1104825090,,73,3,10,,529.83,16.82,75.69,,269.2,13.46,60.57
2019,93010,1487608352,,2,,2,,8.77,,8.77,,6.88,,6.88
2020,93010,1114086931,,1635,,599,,14631.31,,5236.19,,11692.39,,4158.17
2019,93010,1114086931,,1940,,870,,17005.03,,7673.75,,13313.07,,5928.3
2021,93010,1114086931,,1294,,484,,11124.05,,3925.63,,8972.11,,3098.52
2020,93010,1790986354,,258,17,510,,1955.76,127.21,4223.43,,1566.21,89.93,3092.51
2019,93010,1790986354,,303,39,794,,2396.96,270.08,6465.04,,1860.92,155.02,4284.31
2021,93010,1790986354,,321,23,472,,2333.31,146.97,3812.97,,1812.21,111.01,2781.63
2020,93010,1104863745,,2,,,,8.83,,,,7.18,,
2019,93010,1104863745,,2,,4,,8.77,,26.31,,6.96,,20.88
2020,93010,1568413417,,86,2,53,,677.82,8.58,429,,544.44,6.98,344.54
2019,93010,1568413417,,123,3,38,,1071.25,17.14,291.38,,851.49,13.7,232.9
2021,93010,1568413417,,160,2,72,,1236.7,8.3,589.3,,949.52,6.64,451.52
2020,93010,1003080375,,73,,25,,632.25,,219.18,,501.61,,174.47
2019,93010,1003080375,,142,12,102,,1173.16,59.08,869.32,,904.35,47.18,675.81
2021,93010,1003080375,,62,,40,,479.67,,333.33,,383.15,,266.51
2020,93010,1053356220,,1,56,,,8.43,444.66,,,6.69,339.74,
2019,93010,1053356220,,26,,129,,219.44,,1046.56,,168.5,,599.13
2020,93010,1609851377,,36,,5,,335.54,,35.32,,262.73,,28.06
2019,93010,1609851377,,117,3,25,,912.08,17.54,157.86,,726.81,13.98,125.8
2021,93010,1609851377,,24,,9,,171.8,,68.72,,137.4,,54.96
2020,93010,1174527766,4,52,4,53,25.29,438.36,25.29,438.36,20.24,338.47,20.38,332.72
2019,93010,1174527766,5,137,3,118,33.76,1122.52,16.88,945.28,26.76,883.08,13.38,693.84
2021,93010,1174527766,4,130,5,70,24.39,1121.94,32.52,544.71,19.5,897.09,26,435.54
2020,93010,1407857931,,84,,21,,691.26,,143.31,,561.7,,116.45
2019,93010,1407857931,,24,2,19,,203.22,8.77,143.81,,160.88,6.96,113.84
2021,93010,1407857931,,114,2,28,,926.82,8.13,89.43,,744.67,6.59,72.49
2020,93010,1942285671,,353,,386,,2790.33,,3127.53,,2208.97,,2481.17
2019,93010,1942285671,,469,,425,,3941.48,,3468.84,,3091.54,,2707.58
2021,93010,1942285671,,245,,290,,1845.51,,2219.49,,1475.5,,1774.5
2020,93010,1730150160,,511,,195,,4130.7,,1601.7,,3310.55,,1284.54
2019,93010,1730150160,,430,,182,,3426.64,,1409.48,,2723.19,,1122.24
2021,93010,1730150160,,255,,132,,2024.37,,1040.64,,1631.79,,830.46
2020,93010,1760472948,,3,,,,25.29,,,,18.81,,
2020,93010,1194793901,,,13,,,,109.59,,,,87.93,
2019,93010,1194793901,,,12,11,,,101.28,84.4,,,74.14,60.66
2021,93010,1194793901,,,21,,,,170.73,,,,130,
2020,93010,1154398626,,480,2,425,,4316.16,8.43,3102.24,,3433.31,6.85,2447.72
2019,93010,1154398626,,67,,67,,582.36,,455.76,,442.92,,332.53
2021,93010,1154398626,,59,,50,,487.8,,406.5,,388.83,,323.72
2020,93010,1720077084,,576,,405,,4805.1,,3397.29,,3842.67,,2696.22
2019,93010,1720077084,,848,2,473,,7081.16,8.44,3941.48,,5612.31,6.74,3050.01
2021,93010,1720077084,,461,,295,,3617.85,,2300.79,,2912.78,,1831.35
2020,93010,1619977477,,1,,,,8.43,,,,6.81,,
2019,93010,1619977477,,4,,,,26.31,,,,21.03,,
2021,93010,1619977477,,14,,6,,89.43,,40.65,,72.05,,32.75
2020,93010,1003814898,,145,,44,,1340.37,,396.21,,1071.63,,319.07
2019,93010,1003814898,,18,,13,,219.44,,194.12,,171.94,,152.13
2021,93010,1003814898,,193,,51,,2097.54,,463.41,,1700.67,,363.33
2020,93010,1174784904,,198,2,185,,1610.13,8.43,1525.83,,1198.18,6.85,1095.77
2019,93010,1174784904,,49,,42,,405.12,,346.04,,323.52,,269.6
2021,93010,1174784904,,251,8,249,,1902.42,56.91,1910.55,,1526.31,45.71,1484.18
2020,93010,1386743839,,,2,,,,8.43,,,,6.75,
2019,93010,1386743839,,,9,,,,67.52,,,,53.44,
2021,93010,1386743839,,,3,,,,16.26,,,,13.12,
2019,93010,1982786083,,,,2,,,,8.39,,,,6.67
2020,93010,1700857471,,406,,181,,3388.86,,1483.68,,2753.7,,1205.6
2021,93010,1700857471,,50,,23,,398.37,,186.99,,324.38,,152.26
2020,93010,1538427521,,898,12,381,,7832.21,97.13,3258.27,,6222.13,70.6,2605.14
2021,93010,1538427521,,1154,12,589,,9637.98,103.08,4887.25,,7333.14,34.35,3507.24
2020,93010,1306886387,,1053,13,927,,7249.23,68.58,7145.03,,5801.11,54.98,5627.8
2019,93010,1306886387,,724,11,2173,,6037.2,86,18137.24,,4695.4,67.4,13833.29
2021,93010,1306886387,,734,2,732,,5579.46,8.34,5587.8,,4516.04,6.79,4506.16
2020,93010,1720255698,,2,,,,8.83,,,,7.18,,
2019,93010,1720255698,,43,3,10,,350.55,17.1,68.4,,271.97,13.6,40.8
2020,93010,1720247802,,,,2,,,,9.23,,,,7.5
2019,93010,1720247802,,2,,7,,16.88,,55.2,,13.22,,43.27
2020,93010,1285657239,,21,,7,,167.77,,52.98,,119.04,,42.22
2019,93010,1285657239,,26,,9,,228.02,,70.16,,173,,48.44
2021,93010,1285657239,,24,,4,,120.26,,25.77,,89.31,,6.87
2020,93010,1487611273,,487,,444,,3936.81,,3565.89,,3142.29,,2818.95
2019,93010,1487611273,,400,,332,,3342.24,,2667.04,,2661.12,,2123.52
2021,93010,1487611273,,246,,245,,1747.95,,1796.73,,1277.16,,1419.68
2019,93010,1093719882,,8,2,4,,67.52,8.44,25.32,,52.93,6.61,19.83
2020,93010,1134233588,,133,,40,,1055.34,,326.04,,772.92,,225.72
2021,93010,1134233588,,204,,49,,1577,,406.7,,1216.25,,278.88
2020,93010,1386808723,,253,43,336,,1922.04,345.63,2773.47,,1535.07,259.92,2126
2019,93010,1386808723,,,3,,,,16.88,,,,13.48,
2021,93010,1386808723,,577,79,523,,4097.52,634.14,4081.26,,3174.6,425.02,3085.59
2021,93010,1215998091,,,,2,,,,8.13,,,,6.5
2020,93010,1336128909,,243,5,84,,1959.33,25.55,505.95,,1544.87,20.16,400.82
2019,93010,1336128909,,335,6,124,,2775.87,42.2,921.84,,2116.52,32.52,681.58
2021,93010,1336128909,,220,,93,,1763.89,,647.58,,1395.45,,504.62
2020,93010,1932120748,,14,,15,,118.02,,101.16,,94.2,,74.53
2019,93010,1932120748,,41,,30,,320.72,,236.32,,251.18,,166.42
2021,93010,1932120748,,,,4,,,,24.39,,,,13.06
2020,93010,1932390010,,,,4,,,,26.07,,,,20.81
2019,93010,1932390010,,,,5,,,,34.68,,,,27.68
2021,93010,1932390010,,3,,,,16.82,,,,13.6,,
2019,93010,1659412336,,193,,115,,1692.61,,999.78,,1228.27,,660.48
2019,93010,1023373545,,5,,11,,42.2,,92.84,,33.05,,72.71
2020,93010,1669436200,,,2,74,,,8.46,615.39,,,6.72,454.81
2019,93010,1669436200,,,11,95,,,92.83,783.99,,,74.13,598.97
2021,93010,1669436200,,,,66,,,,537.9,,,,387.46
2020,93010,1386746527,,44,,16,,370.86,,141.28,,290.88,,94.45
2021,93010,1386746527,,11,,10,,94.49,,77.31,,76.67,,62.73
2020,93010,1467895078,,,2,107,,,8.83,935.98,,,7.06,742.38
2021,93010,1467895078,,,6,171,,,42.95,1511.84,,,34.35,1202.25
2020,93010,1750474078,,224,,132,,1804.02,,1045.32,,1354.36,,736.46
2019,93010,1750474078,,314,,196,,2582.64,,1688,,1998.49,,1222.42
2021,93010,1750474078,,206,,190,,1626,,1504.05,,1248,,1150.5
2020,93010,1689607616,,509,679,228,,4071.69,5471.07,1820.88,,2995.09,3862.59,1290
2019,93010,1689607616,,686,850,356,,5325.64,7055.84,2709.24,,3939.14,5037.47,2033.71
2021,93010,1689607616,,288,705,106,,2195.1,5349.54,853.65,,1503.7,3605.79,591.31
2020,93010,1255321980,,102,2,61,,767.13,8.43,480.51,,617.75,6.69,373.27
2019,93010,1255321980,,81,3,75,,649.88,16.88,557.04,,480.84,13.48,424.62
2021,93010,1255321980,,107,,62,,780.48,,455.28,,631.82,,353.78
2020,93010,1821046582,,75,,25,,616.99,,208.56,,499.17,,169.26
2019,93010,1821046582,,34,,13,,286.11,,112.71,,224.4,,88.4
2021,93010,1821046582,,107,,41,,891.46,,327.99,,706.16,,264.81
2019,93010,1730180290,,,3,,,,16.88,,,,13.48,
2020,93010,1679525737,,12,2,36,,96.73,8.83,261.7,,77.45,7.07,209.54
2021,93010,1679525737,,4,,11,,32.52,,81.3,,26,,58.5
2020,93010,1104932342,,328,,373,,2697.6,,3119.1,,2121.94,,2458.86
2019,93010,1104932342,,400,,410,,3333.8,,3409.76,,2588.16,,2562.93
2021,93010,1104932342,,172,,252,,1317.06,,2024.37,,1037.77,,1495.59
2020,93010,1508946872,,,2,,,,8.43,,,,6.85,
2019,93010,1386855922,,,,2,,,,8.67,,,,6.93
2020,93010,1023064656,,170,4,276,,1171.96,25.29,1357.42,,918.6,20.09,937.23
2019,93010,1023064656,,132,2,553,,1097.2,8.44,4515.4,,851.09,6.74,3425.44
2021,93010,1023064656,,97,2,310,,682.92,8.13,1569.09,,539.5,6.5,1241.5
2021,93010,1013200286,,,2,,,,8.13,,,,1.02,
2021,93010,1073559209,,1,,2,,8.13,,8.13,,6.5,,6.5
2020,93010,1821030438,,143,,160,,1165.56,,1121.41,,934.8,,898.78
2019,93010,1821030438,,101,,140,,894.54,,938.39,,714.85,,750.01
2021,93010,1821030438,,180,,193,,1468.89,,1529.02,,1190.06,,1238.81
2020,93010,1811338361,,29,,760,,244.47,,4670.22,,189.28,,3714
2021,93010,1811338361,,60,,1399,,465.09,,6106.74,,358.88,,4674.61
2020,93010,1497097984,,2,,,,8.69,,,,6.95,,
2021,93010,1497097984,,31,,4,,227.64,,24.39,,182,,19.5
2020,93010,1649258757,,576,3,80,,4976.84,17.16,652.22,,3893.37,13.72,499.57
2019,93010,1649258757,,528,3,108,,4679.32,17.14,951.27,,3574.39,12.9,728.26
2021,93010,1649258757,,574,,152,,4913.6,,1303.1,,3869.89,,1034.58
2020,93010,1043200785,,17,4,48,,134.88,25.29,320.34,,101.31,20.15,256.96
2019,93010,1043200785,,57,13,94,,413.56,109.72,759.6,,309.12,80.64,571.2
2021,93010,1043200785,,33,,59,,227.64,,406.5,,185.36,,317.76
2020,93010,1093048969,,,3,,,,16.86,,,,13.48,
2021,93010,1093048969,,,2,,,,8.59,,,,6.88,
2020,93010,1710237250,,73,,20,,549.15,,169,,430.86,,128.15
2019,93010,1710237250,,141,,95,,1178.25,,809.2,,841.47,,581.74
2021,93010,1710237250,,10,,8,,81.3,,56.91,,65.1,,45.57
2020,93010,1275857310,,3,,3,,17.02,,17.02,,13.62,,13.62
2021,93010,1275857310,,86,9,573,,665.01,65.68,4655.07,,532.17,52.56,3410.12
2020,93010,1326155813,,,,2,,,,8.43,,,,6.74
2020,93010,1477548618,,543,3,559,,4476.33,16.86,4518.48,,3461.86,13.52,3413.55
2019,93010,1477548618,,784,3,769,,6481.92,16.88,6313.12,,5091.34,13.42,4872.36
2021,93010,1477548618,,749,5,831,,5666.61,32.52,6243.84,,4469.23,26.12,4954.23
2020,93010,1780981670,,737,,293,,6215.11,,2136.22,,4730.21,,1640.3
2019,93010,1780981670,,888,,346,,7410.32,,2405.4,,5855.91,,1878.9
2021,93010,1780981670,,413,,279,,3159.08,,1990.83,,2459.02,,1583.23
2020,93010,1265501985,,153,3,505,,1242.67,17.38,4162.51,,982.87,13.86,3370.57
2019,93010,1265501985,,913,5,26,,7560.24,34.68,182.07,,5931.51,27.24,138.38
2021,93010,1265501985,,20,,569,,100.92,,4339.56,,75.35,,3534.6
2020,93010,1205008026,,241,,258,,1854.6,,2073.78,,1500.31,,1668.35
2021,93010,1205008026,,214,,349,,1048.77,,2520.3,,805.44,,2007.95
2020,93010,1699902585,,264,8,145,,2318.25,59.01,1247.64,,1833.02,46.79,974.46
2019,93010,1699902585,,505,15,208,,5013.36,126.6,1780.84,,3953.87,100.95,1420.11
2021,93010,1699902585,,157,10,92,,1292.67,73.17,731.7,,1016.82,58.5,574.8
2020,93010,1639277353,,71,2,41,,396.21,8.43,261.33,,317.19,6.71,209.55
2019,93010,1639277353,,113,,560,,886.2,,4515.4,,700.96,,3378.54
2021,93010,1639277353,,118,,98,,788.61,,495.93,,639.23,,401.99
2020,93010,1427314459,,,2,,,,8.46,,,,6.77,
2021,93010,1427314459,,,3,,,,16.36,,,,13.08,
2020,93010,1710985916,,3,,,,25.29,,,,20.22,,
2021,93010,1710985916,,350,,104,,2691.03,,804.87,,2034.93,,604.55
2020,93010,1891892550,,,,3,,,,17.16,,,,13.58
2019,93010,1891892550,,,,2,,,,8.57,,,,6.72
2021,93010,1891892550,,,,4,,,,24.9,,,,13.28
2020,93010,1790744399,,17,,102,,141.28,,830.02,,111.44,,653.54
2019,93010,1790744399,,106,,66,,885.77,,482.35,,695.89,,378.94
2021,93010,1790744399,,2,,79,,8.59,,644.25,,6.92,,519
2020,93010,1730186610,,91,,5,,723.26,,33.64,,588.24,,27.36
2021,93010,1730186610,,145,,93,,1093.5,,575.1,,886.95,,466.47
2020,93010,1235174020,,209,,109,,1736.58,,876.72,,1388.44,,700.96
2019,93010,1235174020,,843,,331,,7047.4,,2683.92,,5514.53,,2096.54
2021,93010,1235174020,,522,,215,,4170.69,,1682.91,,3390.93,,1368.27
2020,93010,1467417279,,10,,6,,78.21,,43.45,,62.55,,34.75
2019,93010,1467417279,,18,,,,156.06,,,,120.78,,
2021,93010,1467417279,,20,,12,,159.79,,100.92,,127.87,,74.03
2020,93010,1770509168,,,6,,,,42.95,,,,34.41,
2019,93010,1770509168,,,4,,,,26.31,,,,20.88,
2021,93010,1770509168,,,6,,,,32.98,,,,26.65,
2020,93010,1609837988,,1058,,314,,8733.48,,2520.57,,6913.55,,1985.04
2019,93010,1609837988,,1664,,423,,13132.64,,3300.04,,10249.64,,2581.02
2021,93010,1609837988,,1195,,214,,9414.54,,1674.78,,7646.1,,1363.72
2020,93010,1891791091,,92,31,17,,748.49,260.91,142.97,,599.38,201.93,107.34
2019,93010,1891791091,,151,25,76,,1197.06,210.75,590.1,,935.2,168.25,467.6
2021,93010,1891791091,,3,17,5,,24.3,137.7,40.5,,19.71,112.03,32.85
