Year,HCPCS Code,NPI_DOC,SRVS_ASC_PHY,SRVS_IP_PHY,SRVS_OFF,SRVS_OP_PHY,ALWD_ASC_PHY,ALWD_IP_PHY,ALWD_OFF,ALWD_OP_PHY,PAID_ASC_PHY,PAID_IP_PHY,PAID_OFF,PAID_OP_PHY
2019,93010,1669470332,,30,3,2,,244.76,16.88,8.44,,191.69,13.22,6.61
2021,93010,1669470332,,,2,,,,8.13,,,,6.57,
2020,93010,1386844520,,456,,247,,3564.83,,1950.83,,2867.12,,1547.46
2021,93010,1386844520,,220,,64,,1510.44,,461.99,,1121.61,,345.59
2019,93010,1124096706,,2,3,4,,16.88,16.88,25.32,,13.24,13.24,19.86
2021,93010,1124096706,,,,2,,,,8.13,,,,6.5
2020,93010,1174849566,,210,19,121,,1772.76,147.73,1025.42,,1440.75,120.19,813.05
2019,93010,1174849566,,102,7,58,,875.67,51.56,502.86,,676.95,26.82,374
2021,93010,1174849566,,79,5,39,,664.39,33.64,327.99,,531.67,26.92,262.47
2020,93010,1992760276,,,,14,,,,92.73,,,,60.67
2019,93010,1992760276,,,,11,,,,84.4,,,,67.4
2020,93010,1457617250,,91,,,,793.78,,,,626.28,,
2019,93010,1457617250,,228,,,,1950.4,,,,1528.53,,
2019,93010,1508862525,,,,11,,,,77.6,,,,54.25
2020,93010,1336303866,,,,2,,,,8.83,,,,7.18
2019,93010,1336303866,,2,,11,,8.77,,43.85,,6.96,,34.8
2020,93010,1912009150,,940,,273,,8185.41,,2366.44,,6468.26,,1839.92
2019,93010,1912009150,,805,,278,,6928.3,,2367.9,,5410.19,,1822.8
2021,93010,1912009150,,1243,2,325,,10445.44,8.59,2697.26,,8392.38,6.97,2118.45
2020,93010,1356338347,,36,9,9,,302.76,67.28,67.28,,234.78,53.79,53.74
2019,93010,1356338347,,141,17,55,,1180.2,143.31,446.79,,928.52,114.41,354.04
2021,93010,1356338347,,2,10,,,16.2,72.9,,,13.14,52.72,
2020,93010,1003174954,,54,9,46,,451.88,69.26,382.36,,361.4,55.39,305.8
2019,93010,1003174954,,33,,21,,234.09,,182.07,,183.6,,129.2
2021,93010,1003174954,,182,6,118,,1496.98,42.05,941.92,,1066.03,6.79,566.5
2020,93010,1891766986,,344,4,70,,2919.84,26.07,599.61,,2298.58,20.85,476.05
2020,93010,1922150986,,93,,57,,821.19,,485.65,,650.56,,390.56
2019,93010,1922150986,,36,,25,,368.34,,236.79,,291.84,,187.63
2020,93010,1457351074,,2,,,,8.83,,,,6.92,,
2019,93010,1437105863,,,,11,,,,92.84,,,,69.85
2021,93010,1437105863,,1,,,,7.72,,,,6.18,,
2020,93010,1588806749,,529,3,252,,4522.39,17.38,1686.19,,3597,13.9,1339.26
2021,93010,1588806749,,954,4,413,,7733.73,16.54,2993.06,,6036.67,13.23,2356.16
2020,93010,1497730428,,1,,2,,8.43,,8.43,,6.61,,0
2019,93010,1497730428,,9,,3,,75.96,,16.88,,59.49,,13.22
2021,93010,1497730428,,1,,,,8.13,,,,6.5,,
2020,93010,1437312584,,271,,200,,2278.14,,1448.12,,1798.3,,1151.45
2019,93010,1437312584,,85,,93,,701.6,,754.22,,551.2,,591.83
2021,93010,1437312584,,62,,168,,498.22,,1322.86,,401.36,,1065.68
2020,93010,1407818669,,261,,177,,2141.22,,1475.25,,1598.2,,1082.7
2019,93010,1407818669,,268,,198,,2185.96,,1730.2,,1680.88,,1286.28
2021,93010,1407818669,,223,,156,,1788.6,,1252.02,,1391,,928.29
2020,93010,1952579153,,5,,8,,35.32,,61.81,,28.58,,50.26
2019,93010,1952579153,,3,,6,,17.54,,43.85,,13.92,,34.8
2021,93010,1952579153,,,,9,,,,68.72,,,,55.76
2020,93010,1558655431,,,2,,,,8.43,,,,6.71,
